,PULocationID,DOLocationID
0,238,239
1,239,238
2,238,238
3,238,151
4,246,48
5,246,79
6,163,161
7,161,144
8,43,239
9,211,234
10,234,90
11,246,142
12,170,162
13,170,161
14,161,262
15,236,162
16,50,261
17,142,236
18,237,141
19,24,236
20,236,262
21,234,238
22,232,79
23,79,233
24,233,170
25,170,107
26,144,229
27,229,142
28,142,239
29,239,41
30,41,74
31,239,142
32,48,68
33,229,140
34,141,140
35,141,141
36,233,229
37,144,68
38,246,48
39,79,79
40,237,48
41,237,107
42,234,90
43,90,148
44,249,100
45,234,137
46,87,148
47,148,170
48,113,239
49,234,162
50,43,170
51,234,263
52,237,239
53,239,229
54,229,239
55,161,79
56,107,170
57,162,142
58,236,237
59,237,42
60,236,162
61,211,107
62,162,170
63,79,262
64,142,238
65,239,24
66,24,243
67,211,231
68,211,246
69,234,140
70,140,41
71,262,140
72,142,244
73,166,238
74,239,239
75,239,186
76,263,140
77,140,143
78,143,236
79,236,107
80,48,107
81,161,141
82,141,224
83,107,263
84,142,143
85,239,151
86,238,229
87,229,45
88,151,262
89,262,161
90,162,161
91,161,262
92,148,231
93,231,79
94,262,151
95,261,170
96,170,170
97,148,107
98,43,236
99,236,79
100,87,158
101,158,236
102,170,107
103,234,107
104,151,229
105,166,238
106,238,24
107,166,262
108,144,232
109,239,237
110,237,75
111,43,239
112,239,238
113,238,141
114,161,137
115,140,236
116,236,43
117,163,75
118,236,162
119,229,263
120,263,141
121,140,238
122,238,211
123,233,186
124,249,125
125,211,137
126,137,158
127,68,261
128,249,48
129,142,41
130,164,79
131,79,143
132,142,41
133,162,79
134,107,137
135,170,137
136,170,137
137,163,24
138,238,90
139,114,148
140,148,48
141,48,143
142,68,246
143,68,125
144,125,158
145,158,211
146,229,144
147,144,113
148,113,170
149,140,237
150,237,75
151,75,41
152,41,75
153,236,262
154,90,161
155,68,238
156,161,141
157,237,262
158,249,148
159,148,170
160,170,68
161,170,107
162,231,239
163,238,151
164,238,43
165,43,114
166,161,249
167,249,143
168,142,237
169,236,170
170,144,158
171,158,234
172,234,211
173,114,45
174,231,211
175,113,75
176,141,151
177,151,141
178,141,262
179,141,229
180,141,262
181,113,164
182,234,113
183,113,229
184,249,233
185,239,237
186,48,137
187,142,233
188,233,234
189,237,236
190,43,262
191,262,170
192,170,137
193,137,107
194,107,140
195,148,229
196,237,87
197,166,239
198,239,239
199,239,238
200,238,232
201,90,79
202,229,113
203,50,90
204,90,79
205,79,90
206,141,263
207,141,4
208,74,74
209,236,239
210,148,4
211,79,249
212,234,90
213,114,232
214,234,114
215,114,137
216,137,144
217,107,143
218,113,161
219,161,68
220,236,239
221,238,263
222,262,50
223,141,263
224,263,229
225,74,74
226,161,170
227,170,142
228,158,79
229,79,13
230,13,141
231,224,107
232,137,140
233,90,233
234,161,163
235,239,262
236,263,238
237,239,151
238,238,142
239,142,170
240,90,90
241,48,144
242,43,262
243,263,236
244,234,234
245,236,143
246,143,48
247,143,142
248,239,238
249,48,164
250,234,141
251,43,262
252,68,144
253,114,239
254,90,246
255,48,50
256,238,151
257,238,229
258,43,186
259,238,41
260,151,74
261,41,116
262,116,166
263,140,263
264,229,229
265,229,116
266,237,229
267,263,263
268,68,79
269,79,79
270,79,42
271,48,234
272,161,74
273,141,249
274,140,142
275,43,164
276,164,107
277,162,237
278,161,141
279,239,229
280,229,236
281,148,87
282,87,261
283,231,127
284,68,246
285,68,90
286,236,237
287,237,87
288,87,162
289,48,246
290,50,239
291,238,68
292,48,237
293,237,263
294,236,43
295,43,43
296,43,238
297,43,41
298,107,68
299,238,236
300,161,170
301,107,90
302,79,79
303,249,237
304,237,231
305,237,231
306,231,68
307,43,107
308,162,234
309,234,114
310,263,246
311,79,209
312,114,164
313,164,209
314,87,79
315,151,239
316,239,143
317,239,236
318,237,224
319,224,162
320,79,170
321,113,229
322,229,229
323,79,232
324,231,50
325,50,246
326,239,238
327,238,239
328,239,137
329,137,262
330,113,114
331,144,48
332,87,87
333,87,249
334,249,148
335,236,237
336,141,161
337,161,233
338,233,90
339,237,263
340,263,141
341,237,140
342,141,262
343,262,68
344,234,233
345,170,170
346,164,68
347,229,170
348,238,116
349,114,144
350,114,79
351,79,229
352,48,50
353,232,263
354,162,238
355,238,142
356,90,249
357,249,48
358,170,238
359,148,170
360,263,233
361,87,229
362,229,141
363,161,229
364,141,263
365,141,236
366,236,237
367,148,79
368,79,229
369,107,158
370,239,48
371,48,113
372,151,151
373,41,74
374,41,233
375,161,87
376,79,50
377,142,68
378,170,161
379,161,140
380,140,140
381,237,141
382,237,161
383,68,68
384,249,45
385,231,170
386,170,137
387,68,107
388,137,107
389,113,238
390,238,141
391,234,238
392,231,90
393,164,142
394,166,211
395,161,68
396,246,68
397,90,163
398,90,68
399,246,231
400,209,148
401,148,87
402,43,48
403,239,170
404,170,263
405,237,50
406,114,158
407,107,234
408,142,236
409,239,142
410,142,229
411,229,140
412,262,4
413,79,75
414,140,262
415,262,143
416,142,24
417,151,238
418,234,48
419,161,161
420,162,229
421,48,186
422,164,144
423,144,79
424,161,43
425,43,262
426,263,141
427,236,263
428,263,249
429,114,164
430,164,144
431,237,68
432,68,142
433,137,79
434,79,114
435,113,137
436,233,170
437,79,68
438,263,141
439,249,231
440,43,142
441,142,239
442,239,107
443,43,161
444,170,234
445,234,164
446,186,50
447,161,42
448,114,144
449,114,231
450,231,68
451,170,90
452,249,87
453,209,224
454,79,232
455,229,141
456,237,137
457,142,239
458,239,142
459,142,158
460,79,231
461,231,79
462,161,163
463,43,148
464,237,107
465,42,236
466,113,231
467,238,166
468,151,143
469,143,238
470,238,75
471,162,236
472,237,229
473,229,48
474,263,236
475,263,238
476,238,239
477,239,236
478,237,229
479,229,164
480,163,90
481,262,236
482,236,239
483,239,239
484,239,236
485,237,137
486,239,238
487,151,243
488,238,141
489,116,41
490,41,79
491,262,166
492,166,238
493,238,263
494,48,186
495,90,246
496,107,50
497,237,236
498,236,236
499,148,68
500,238,166
501,238,239
502,239,239
503,239,243
504,236,140
505,79,79
506,79,262
507,113,144
508,79,90
509,43,41
510,41,151
511,238,48
512,263,263
513,263,140
514,141,263
515,263,263
516,75,107
517,107,140
518,79,234
519,148,231
520,231,79
521,79,234
522,234,144
523,79,137
524,143,48
525,48,50
526,48,233
527,162,170
528,68,79
529,164,162
530,170,229
531,170,161
532,161,75
533,263,211
534,88,170
535,211,234
536,237,137
537,79,90
538,234,107
539,239,238
540,238,142
541,43,137
542,239,141
543,262,262
544,262,236
545,43,24
546,166,116
547,164,170
548,164,87
549,87,107
550,43,43
551,239,116
552,211,48
553,142,50
554,48,151
555,163,140
556,140,142
557,142,142
558,142,233
559,79,79
560,113,142
561,209,148
562,148,114
563,113,234
564,90,79
565,79,229
566,137,262
567,236,75
568,236,141
569,237,186
570,141,141
571,141,141
572,170,233
573,233,100
574,246,238
575,79,114
576,114,234
577,234,114
578,79,90
579,229,143
580,114,114
581,114,114
582,114,4
583,4,137
584,125,237
585,68,48
586,239,238
587,151,137
588,246,236
589,48,238
590,238,24
591,24,142
592,43,43
593,239,238
594,236,229
595,236,239
596,239,229
597,107,125
598,249,142
599,143,244
600,236,43
601,43,142
602,143,239
603,239,238
604,239,224
605,229,24
606,238,238
607,238,239
608,239,75
609,229,238
610,238,43
611,43,249
612,249,170
613,107,170
614,234,170
615,79,161
616,161,162
617,161,43
618,211,114
619,114,232
620,148,209
621,87,158
622,262,140
623,229,107
624,137,263
625,263,229
626,114,170
627,170,234
628,43,141
629,170,224
630,79,229
631,74,42
632,113,238
633,239,151
634,238,238
635,237,262
636,236,43
637,45,148
638,238,142
639,142,246
640,142,74
641,232,87
642,87,141
643,4,170
644,234,161
645,162,107
646,107,79
647,79,211
648,164,41
649,237,237
650,143,239
651,239,137
652,107,161
653,161,162
654,161,236
655,144,263
656,148,244
657,166,262
658,142,140
659,262,229
660,229,170
661,90,262
662,161,144
663,144,13
664,13,125
665,125,90
666,234,142
667,79,233
668,79,79
669,79,75
670,148,238
671,238,142
672,162,158
673,158,170
674,48,209
675,87,232
676,232,90
677,107,90
678,113,68
679,246,232
680,114,231
681,231,249
682,68,143
683,237,142
684,142,239
685,237,229
686,114,211
687,114,229
688,163,162
689,107,140
690,41,41
691,229,170
692,144,244
693,234,236
694,236,237
695,262,140
696,263,140
697,161,79
698,79,164
699,238,143
700,143,141
701,262,239
702,158,125
703,158,143
704,239,239
705,239,238
706,90,74
707,114,162
708,229,170
709,79,107
710,107,43
711,43,161
712,113,233
713,233,262
714,234,224
715,125,239
716,239,166
717,238,42
718,140,90
719,249,125
720,125,229
721,144,229
722,234,42
723,234,234
724,234,148
725,148,158
726,158,170
727,164,170
728,170,164
729,164,211
730,211,231
731,79,211
732,211,144
733,238,41
734,142,229
735,229,262
736,170,263
737,237,170
738,170,239
739,234,232
740,249,236
741,263,68
742,229,236
743,237,229
744,229,237
745,237,148
746,170,79
747,79,262
748,238,143
749,164,148
750,148,137
751,107,229
752,161,234
753,170,170
754,137,161
755,170,107
756,234,229
757,148,79
758,114,263
759,239,141
760,263,229
761,236,141
762,141,261
763,261,164
764,158,90
765,246,50
766,24,79
767,107,79
768,237,79
769,79,141
770,229,263
771,232,114
772,48,246
773,162,237
774,140,74
775,263,164
776,234,87
777,224,43
778,239,142
779,142,238
780,238,142
781,239,262
782,262,170
783,170,100
784,234,237
785,170,186
786,186,263
787,48,231
788,211,79
789,90,107
790,75,238
791,239,166
792,166,263
793,237,246
794,50,142
795,142,151
796,113,232
797,79,148
798,148,246
799,113,90
800,90,161
801,262,263
802,161,87
803,261,48
804,68,68
805,231,161
806,249,125
807,125,211
808,142,43
809,239,141
810,237,142
811,74,74
812,161,161
813,161,261
814,113,170
815,233,141
816,141,233
817,233,263
818,152,244
819,166,107
820,161,236
821,236,162
822,162,263
823,143,237
824,246,186
825,148,170
826,79,144
827,151,239
828,158,141
829,237,144
830,229,140
831,12,48
832,48,142
833,50,170
834,231,107
835,107,170
836,142,239
837,239,237
838,43,236
839,144,88
840,87,87
841,87,234
842,231,244
843,116,166
844,166,116
845,107,233
846,170,90
847,237,263
848,263,236
849,161,238
850,238,42
851,87,243
852,243,116
853,116,140
854,263,113
855,90,125
856,125,170
857,43,48
858,237,141
859,140,244
860,244,42
861,48,142
862,142,224
863,211,234
864,158,143
865,158,140
866,50,186
867,234,107
868,107,233
869,249,68
870,249,90
871,211,50
872,50,50
873,50,48
874,234,161
875,162,170
876,170,148
877,43,239
878,239,142
879,142,41
880,238,249
881,114,107
882,170,170
883,236,236
884,237,236
885,236,236
886,43,237
887,79,113
888,113,246
889,246,68
890,237,237
891,237,262
892,140,4
893,107,234
894,234,164
895,164,125
896,211,261
897,107,75
898,75,238
899,238,239
900,45,45
901,148,87
902,125,87
903,164,88
904,88,186
905,246,107
906,113,79
907,234,48
908,48,151
909,43,162
910,237,229
911,229,141
912,79,158
913,158,263
914,142,161
915,163,229
916,233,140
917,141,141
918,43,262
919,79,114
920,231,231
921,239,142
922,143,262
923,263,142
924,113,68
925,246,151
926,239,143
927,143,48
928,48,239
929,239,238
930,238,238
931,238,48
932,237,87
933,87,137
934,232,229
935,162,170
936,234,48
937,263,137
938,79,249
939,249,79
940,79,263
941,107,41
942,24,163
943,43,236
944,236,236
945,43,166
946,249,68
947,113,262
948,233,234
949,233,170
950,151,234
951,114,161
952,246,246
953,68,170
954,164,148
955,236,237
956,236,143
957,142,140
958,140,263
959,142,166
960,166,166
961,24,42
962,249,90
963,68,13
964,13,148
965,148,87
966,170,141
967,140,151
968,151,42
969,48,158
970,158,79
971,79,114
972,114,87
973,232,140
974,79,87
975,87,48
976,68,13
